"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000170054",18.8046628688873,-21.8165051466117,1.79397084794287,-12.161014306129,5.01323261897087e-34,1.40756532242845e-29,"SERPINA9",327657
"ENSG00000253742",21.6912271841785,-21.6755614741358,1.79177727623728,-12.097240969399,1.09220599710142e-33,1.53329338903082e-29,"IGHV3-60",NA
"ENSG00000237638",7.17278828534194,-20.5606545945551,1.92538976850041,-10.6786973375104,1.28055931148299e-26,1.19847545961693e-22,"AC007386.2",400958
"ENSG00000253131",11.9116199669163,-20.6833521761945,2.02873579508313,-10.1951926053274,2.08331173702304e-24,1.4623285910099e-20,"IGHV7-56",NA
"ENSG00000211654",32.4019144999743,-22.36784577138,2.55257542063406,-8.76285401425036,1.90368126580899e-18,1.06899317800238e-14,"IGLV5-37",NA
"ENSG00000211685",460.844142767394,-9.6428838153221,1.258050980171,-7.66493883579458,1.78916444373191e-14,8.37239501444345e-11,"IGLC7",NA
"ENSG00000132465",7256.75327032473,-6.47748185918773,0.865721925746584,-7.48217374025922,7.31032105804778e-14,2.56564855433509e-10,"JCHAIN",3512
"ENSG00000170476",1104.61644231101,-6.72742063165705,0.897285236942666,-7.49752738001073,6.50328937600587e-14,2.56564855433509e-10,"MZB1",51237
"ENSG00000249096",117.225717001193,-4.32771412556964,0.591841600119673,-7.3122844434973,2.62638396964275e-13,6.7037257014236e-10,"RP11-290F5.1",102723766
"ENSG00000167483",672.991639862159,-5.62162109668557,0.768522551176859,-7.31484207988047,2.57684255816332e-13,6.7037257014236e-10,"FAM129C",199786
"ENSG00000211660",1999.75747813936,-7.99416981466458,1.09297272292372,-7.31415308634605,2.59009729593295e-13,6.7037257014236e-10,"IGLV2-23",NA
"ENSG00000211895",67413.1049723111,-6.84209516105406,0.941135440972219,-7.27004303863637,3.5937298251048e-13,7.94629603998425e-10,"IGHA1",NA
"ENSG00000177455",843.39382140229,-6.45205839787762,0.887873586432896,-7.26686602289779,3.67923383979041e-13,7.94629603998425e-10,"CD19",930
"ENSG00000143297",1547.45439830355,-6.83885300452692,0.958903040413199,-7.13195465683371,9.89534760506479e-13,1.77848466437633e-09,"FCRL5",83416
"ENSG00000211893",11874.718532462,-7.23262663010846,1.01458397685729,-7.12866238289293,1.01348985397376e-12,1.77848466437633e-09,"IGHG2",NA
"ENSG00000211678",289.323879263249,-9.39224732957635,1.31629622058304,-7.13535994611924,9.65342070650688e-13,1.77848466437633e-09,"IGLJ3",NA
"ENSG00000156738",4189.48210767475,-6.04900182078595,0.853972841472916,-7.0833655674023,1.40694875793015e-12,2.14975406888799e-09,"MS4A1",931
"ENSG00000211651",1036.18866126148,-8.1578179999461,1.15120695997055,-7.08631747688079,1.37727657012661e-12,2.14975406888799e-09,"IGLV1-44",NA
"ENSG00000211653",3341.09399124956,-8.17324919496655,1.15462000238112,-7.0787351493229,1.45476109658695e-12,2.14975406888799e-09,"IGLV1-40",NA
"ENSG00000240505",153.670476669101,-5.78305146457079,0.830076522234781,-6.9668895694114,3.24024807974434e-12,4.54882226674909e-09,"TNFRSF13B",23495
"ENSG00000211937",822.529022248601,-8.55519284800561,1.24801435860078,-6.85504360510508,7.12907701812606e-12,9.53157597323455e-09,"IGHV2-5",NA
"ENSG00000128438",361.77509605674,-6.07722018444016,0.888678305415305,-6.83849279025676,8.00306908837368e-12,1.02137350361031e-08,"TBC1D27",NA
"ENSG00000244116",594.848410878008,-7.26992302837786,1.07341530208618,-6.77270299226103,1.2639827093673e-11,1.54299315351763e-08,"IGKV2-28",NA
"ENSG00000231475",621.007042923063,-7.67974636739744,1.14069647992787,-6.7325064138736,1.66765033753579e-11,1.95094243862468e-08,"IGHV4-31",NA
"ENSG00000204165",43.6720820154873,-4.67731577165555,0.699815662521873,-6.68363973849952,2.33079392227943e-11,2.61766803823358e-08,"CXorf65",158830
"ENSG00000083454",1059.02098058232,-4.94837841721254,0.743858892102645,-6.65230794408479,2.88532202814353e-11,3.11581486862254e-08,"P2RX5",5026
"ENSG00000211679",4677.19733549007,-7.0425047690441,1.06252002006835,-6.62811489292319,3.40000799923404e-11,3.53563054053682e-08,"IGLC3",NA
"ENSG00000211640",1032.80633572255,-9.56368999001599,1.46319046123566,-6.53618940485676,6.31059897025677e-11,6.32795311742498e-08,"IGLV6-57",NA
