"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000170054",18.8046628688873,22.9568142652522,1.79396992934414,12.7966549994765,1.71166661072929e-37,2.40763025465183e-33,"SERPINA9"
"ENSG00000253742",21.6912271841785,22.9809773609938,1.79178109150638,12.8257728971084,1.17607891129324e-37,2.40763025465183e-33,NA
"ENSG00000237638",7.17278828534194,21.8586430083132,1.92539390739574,11.3528161299102,7.1811880290731e-30,6.73403938779615e-26,NA
"ENSG00000253131",11.9116199669163,22.0311301160816,2.02873990583097,10.8595143481725,1.79702337586142e-27,1.26384654024334e-23,NA
"ENSG00000211654",32.4019144999743,23.7343265152421,2.55258564373012,9.29815090574547,1.42909303739622e-20,8.04064906560608e-17,NA
"ENSG00000211685",460.844142767394,9.6428872026041,1.25805217370297,7.6649342564395,1.78922828067045e-14,8.38909499863687e-11,NA
"ENSG00000132465",7256.75327032473,6.47747667685336,0.865722252088664,7.48216493364428,7.31081109171248e-14,2.57084672040069e-10,"JCHAIN"
"ENSG00000170476",1104.61644231101,6.72741839759212,0.897285620694496,7.49752168365868,6.50357190717427e-14,2.57084672040069e-10,"MZB1"
"ENSG00000249096",117.225717001193,4.32771239526684,0.591841719078328,7.31228005015658,2.62646986836455e-13,6.71707730334832e-10,NA
"ENSG00000167483",672.991639862159,5.62161784035105,0.768522785026853,7.31483561694872,2.57696658081372e-13,6.71707730334832e-10,"NIBAN3"
"ENSG00000211660",1999.75747813936,7.99416628504547,1.09297341752733,7.31414520870137,2.59024923125866e-13,6.71707730334832e-10,NA
"ENSG00000211895",67413.1049723111,6.84208666285411,0.941135858490858,7.27003078368051,3.59405586733959e-13,7.96228110845376e-10,NA
"ENSG00000177455",843.39382140229,6.45205474912364,0.887873953405543,7.26685890984418,3.67942749928547e-13,7.96228110845376e-10,"CD19"
"ENSG00000143297",1547.45439830355,6.83884915176817,0.958903497232427,7.1319472413088,9.89588087537845e-13,1.78209265856661e-09,"FCRL5"
"ENSG00000211893",11874.718532462,7.23262063808307,1.01458450103501,7.12865279403028,1.01356044849515e-12,1.78209265856661e-09,NA
"ENSG00000211678",289.323879263249,9.39225086199205,1.31629840907668,7.13535076638151,9.6540650071546e-13,1.78209265856661e-09,NA
"ENSG00000156738",4189.48210767475,6.04899614151893,0.853973155226119,7.08335631454041,1.40704274540722e-12,2.15410704508115e-09,"MS4A1"
"ENSG00000211651",1036.18866126148,8.15781594027319,1.15120780561817,7.08631048231355,1.37734614758165e-12,2.15410704508115e-09,NA
"ENSG00000211653",3341.09399124956,8.17324427984931,1.154620796563,7.07872602345193,1.45485688385262e-12,2.15410704508115e-09,NA
"ENSG00000240505",153.670476669101,5.78304936375144,0.830076880114647,6.96688403482905,3.24037549990962e-12,4.55791217817287e-09,"TNFRSF13B"
"ENSG00000211937",822.529022248601,8.55519687751487,1.24801580981919,6.85503886265219,7.12931352779555e-12,9.55056419828306e-09,NA
"ENSG00000128438",361.77509605674,6.07721666792383,0.888678695681803,6.83848583009108,8.00345784947474e-12,1.02342398282465e-08,NA
"ENSG00000244116",594.848410878008,7.26992220054968,1.07341602561029,6.77269765598696,1.26402934838588e-11,1.5460727664692e-08,NA
"ENSG00000231475",621.007042923063,7.67974501148644,1.14069732676913,6.73250022706572,1.66772127249967e-11,1.95484728491503e-08,NA
"ENSG00000204165",43.6720820154873,4.67731462641635,0.699815923228803,6.68363561211384,2.33085958558582e-11,2.62286967446802e-08,"CXorf65"
"ENSG00000083454",1059.02098058232,4.9483744522127,0.743859102303586,6.65230073395426,2.88546342283597e-11,3.12207142350852e-08,"P2RX5"
