"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000253742",21.6912271841785,21.6235756205822,1.63711413881265,13.2083494412095,7.85274908963317e-40,2.2091353738956e-35,NA
"ENSG00000253131",11.9116199669163,21.7554797980858,1.8455796224682,11.7878847020379,4.50719475243691e-32,6.33982013877776e-28,NA
"ENSG00000170054",18.8046628688873,19.4236755704842,1.66056704275327,11.6970137732465,1.32017915621645e-31,1.23797600075604e-27,"SERPINA9"
"ENSG00000211654",32.4019144999743,23.2763550843319,2.31331691986704,10.0618963551565,8.14147640719046e-24,5.72590035717705e-20,NA
"ENSG00000237638",7.17278828534194,18.2324388889353,1.81790365979635,10.0293757541463,1.13230192803772e-23,6.37078356791145e-20,NA
"ENSG00000211937",822.529022248601,9.2356689504977,1.13515922946661,8.1360118569774,4.0851182388459e-16,1.91537577158688e-12,NA
"ENSG00000211660",1999.75747813936,7.09460973225489,0.986848535415495,7.18915768494081,6.51922488045513e-13,2.61998334767091e-09,NA
"ENSG00000132465",7256.75327032473,5.55912040155518,0.780563636281931,7.12193105489132,1.06425294358098e-12,3.74244547610251e-09,"JCHAIN"
"ENSG00000170476",1104.61644231101,5.74150574830824,0.80991376644328,7.08903340848489,1.35051924340948e-12,4.22142303951061e-09,"MZB1"
"ENSG00000211651",1036.18866126148,7.24744408544662,1.03878246359133,6.97686410722648,3.01841406709417e-12,8.49140245354931e-09,NA
"ENSG00000244116",594.848410878008,6.55641426605753,0.971500471297718,6.74875047389277,1.49123791447405e-11,3.81377318272582e-08,NA
"ENSG00000211947",824.95242730334,7.32560715708033,1.08814900727184,6.73217280733157,1.67147952856481e-11,3.91850517479877e-08,NA
"ENSG00000211685",460.844142767394,7.468167763877,1.13839445373392,6.5602636585074,5.37127224515194e-11,1.16234331385088e-07,NA
"ENSG00000211900",458.444671782907,6.38529793475143,0.97658426874965,6.53839933642051,6.21807147304742e-11,1.16617857786513e-07,NA
"ENSG00000211653",3341.09399124956,6.82106603954877,1.04159406732512,6.54867981061538,5.80479362319547e-11,1.16617857786513e-07,NA
"ENSG00000211673",1143.21428434865,6.92999190098547,1.06449116892598,6.51014503763097,7.50782790281849e-11,1.32006384101306e-07,NA
"ENSG00000240864",374.55058417903,6.35686840682975,0.980490466670457,6.48335564997013,8.97047019484418e-11,1.4149103839837e-07,NA
"ENSG00000211941",478.46468209679,7.13465302359154,1.10313318527757,6.46762613872078,9.95544305118253e-11,1.4149103839837e-07,NA
"ENSG00000211959",1584.54612594264,6.90236355119364,1.06744978676039,6.466218492714,1.00485756929186e-10,1.4149103839837e-07,NA
"ENSG00000211669",402.747198562701,7.04408118854865,1.08939302084291,6.46606050688515,1.00590813591903e-10,1.4149103839837e-07,NA
"ENSG00000224373",1606.89204262305,7.01438172360248,1.08952060617722,6.43804411209229,1.21022832231512e-10,1.62124491254138e-07,NA
"ENSG00000211664",115.996980662869,7.16437874384631,1.11515247569949,6.42457323098566,1.32239988606885e-10,1.69098879976768e-07,NA
"ENSG00000239951",5935.13731482671,6.01980905458132,0.942283033742945,6.38853596956891,1.67481432542599e-10,2.04851637403843e-07,NA
"ENSG00000240834",193.373497091702,8.68880201013657,1.36416607681612,6.3693139404373,1.89875601891073e-10,2.22565851349986e-07,NA
"ENSG00000231475",621.007042923063,6.53438980508354,1.03018711625593,6.34291547814328,2.25457139393394e-10,2.53702409816598e-07,NA
"ENSG00000211974",193.69484132243,7.07548511164351,1.11916367974689,6.32211823854371,2.58001836002946e-10,2.79157986555188e-07,NA
"ENSG00000211594",2145.83344790366,5.84557262035567,0.926588973715361,6.30870082223898,2.81387447979488e-10,2.82713988805677e-07,NA
"ENSG00000211655",148.949283465146,8.40204719148045,1.33150895549268,6.31016949365658,2.78730042772396e-10,2.82713988805677e-07,NA
"ENSG00000211595",961.059615116096,5.99341626181578,0.951257029405115,6.30052244193545,2.96644055322801e-10,2.87765191873829e-07,NA
"ENSG00000243290",776.03836216629,7.45078474561039,1.18748284408818,6.27443569623236,3.50904615280998e-10,3.29054954569501e-07,NA
"ENSG00000223648",96.5311920630624,8.55427337749335,1.36962068893341,6.24572441597316,4.21840376533269e-10,3.82813337826901e-07,NA
"ENSG00000211943",631.001697208306,6.19140850605744,0.996191664112039,6.21507760916288,5.12992887149911e-10,4.48275727828181e-07,NA
"ENSG00000211966",805.817810838718,5.95693240168247,0.959064477619355,6.21119073919734,5.25845976764182e-10,4.48275727828181e-07,NA
"ENSG00000211953",1587.85993619257,6.26221061046269,1.01014405007063,6.19932435381351,5.67060617755574e-10,4.69192626432347e-07,NA
"ENSG00000240041",626.431473168594,5.83586909765,0.957079790463654,6.09757844204696,1.07687280208543e-09,8.65559590521925e-07,NA
"ENSG00000240382",434.873931556512,6.38735935440232,1.05532557257655,6.05250125684697,1.42613885679536e-09,1.11444828664908e-06,NA
"ENSG00000211976",188.641604768284,7.5863258952229,1.2591720115376,6.02485270138677,1.69263705488499e-09,1.28695312508174e-06,NA
"ENSG00000211638",526.898767190506,6.91088514699662,1.14833035244841,6.01820297814264,1.76363961396403e-09,1.30565025315884e-06,NA
"ENSG00000211895",67413.1049723111,5.09568264998715,0.848384845448436,6.0063338911879,1.89765199646601e-09,1.36883964011749e-06,NA
"ENSG00000211936",497.109139988328,6.58509673714032,1.09716829317041,6.00190214949779,1.95019223006913e-09,1.37157019540762e-06,NA
"ENSG00000239855",516.486324197093,7.14248288703583,1.19775828542634,5.96320891614076,2.47331861610241e-09,1.69705851971203e-06,NA
"ENSG00000223350",243.933296309038,8.54180857741641,1.43417263407009,5.95591379621804,2.58622633781147e-09,1.73227903179315e-06,NA
"ENSG00000244575",268.555552491938,6.49390487448763,1.09213293121364,5.94607550865738,2.74647492244325e-09,1.79683331437613e-06,NA
"ENSG00000211899",11371.5621564447,5.26807616178611,0.891686978809804,5.90798821444917,3.4631078800842e-09,2.2141852473302e-06,NA
"ENSG00000211962",622.962995066454,5.64121951421591,0.956812582594906,5.89584587079399,3.72766805890877e-09,2.33037239629381e-06,NA
"ENSG00000211951",171.281797215936,6.78845160139715,1.15778217182433,5.86332366018427,4.53692635791608e-09,2.77462635436728e-06,NA
"ENSG00000211659",603.086131984321,6.29562872013855,1.07669413863456,5.84718398125814,4.9996443710382e-09,2.99255309459674e-06,NA
