"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","genename"
"ENSG00000001630",59.7746968246306,1.63434300397308,0.273241562375272,5.98131188303067,2.21347589759414e-09,5.660964608097e-05,"CYP51A1","1595","cytochrome P450 family 51 subfamily A member 1"
"ENSG00000233355",240.368369415875,-3.20502684870019,0.562715549069556,-5.69564294784402,1.22907855909188e-08,0.000104778947162583,"CHRM3-AS2","100506915","CHRM3 antisense RNA 2"
"ENSG00000238113",261.944012542731,-1.70473492008663,0.29584653603117,-5.76222707541527,8.3011209749252e-09,0.000104778947162583,"LINC01410","103352539","long intergenic non-protein coding RNA 1410"
"ENSG00000262222",159.097565398941,-1.71863067107069,0.311621139542669,-5.51512863855425,3.48524938355804e-08,0.000222838132461242,NA,NA,NA
"ENSG00000075420",4667.22721535119,0.59677259011247,0.109424338337527,5.45374638932415,4.93195284808669e-08,0.000252269388179634,"FNDC3B","64778","fibronectin type III domain containing 3B"
"ENSG00000228314",234.982985930103,-2.42511412287555,0.450475122621001,-5.38345848881843,7.30681043986608e-08,0.000311452794999292,"CYP4F29P","54055","cytochrome P450 family 4 subfamily F member 29, pseudogene"
"ENSG00000122543",16.4050255983895,-2.49522470869902,0.467963481755226,-5.3320927935231,9.70873018079225e-08,0.000354715391962517,"OCM","654231","oncomodulin"
"ENSG00000148600",168.465517803127,-2.24499016191996,0.423280972144241,-5.30378238017025,1.13427523287733e-07,0.000362613613510471,"CDHR1","92211","cadherin related family member 1"
"ENSG00000149043",33.70711315066,-4.2630143699436,0.810826958070082,-5.25761301781376,1.45937208587944e-07,0.00041470490107074,"SYT8","90019","synaptotagmin 8"
"ENSG00000165178",128.345994485144,-2.56864639110128,0.491150314027363,-5.22985798388022,1.6964030605939e-07,0.000433855082746891,"NCF1C","654817","neutrophil cytosolic factor 1C pseudogene"
"ENSG00000044115",16698.2594287091,0.503871771382458,0.0971082071645151,5.18876607956347,2.11692117636448e-07,0.000468825380770666,"CTNNA1","1495","catenin alpha 1"
"ENSG00000108244",30.6339441309019,-3.77778143113466,0.729074582395997,-5.18161176147375,2.19976718250166e-07,0.000468825380770666,"KRT23","25984","keratin 23"
"ENSG00000114270",909.961649784778,-2.07325589836008,0.401512674041463,-5.16361258909098,2.42228771126797e-07,0.000476538524735987,"COL7A1","1294","collagen type VII alpha 1 chain"
"ENSG00000139190",4527.48957454851,-0.870814256049037,0.170971044489772,-5.09334348776896,3.51803485950185e-07,0.000642669582369714,"VAMP1","6843","vesicle associated membrane protein 1"
"ENSG00000187889",175.846036674583,-2.5132995922015,0.498471120695319,-5.04201645362261,4.60651668042176e-07,0.000693009788834038,"FYB2","199920","FYN binding protein 2"
"ENSG00000151012",661.90803317273,2.64518496833979,0.524303505110078,5.04514072967038,4.53187684705977e-07,0.000693009788834038,"SLC7A11","23657","solute carrier family 7 member 11"
"ENSG00000103253",521.465494345544,-1.68983363439052,0.333868071578431,-5.06138136061191,4.16229711060723e-07,0.000693009788834038,"HAGHL","84264","hydroxyacylglutathione hydrolase like"
"ENSG00000059573",3579.05177680307,0.735852162589743,0.146609258488855,5.01913842396033,5.19037402726904e-07,0.000698651661828451,"ALDH18A1","5832","aldehyde dehydrogenase 18 family member A1"
"ENSG00000120662",763.21258533148,-0.654849200566274,0.130438929840306,-5.02035091339676,5.15771689941925e-07,0.000698651661828451,"MTRF1","9617","mitochondrial translation release factor 1"
"ENSG00000120332",294.375439270528,3.15500805561655,0.632322634621284,4.98955419729071,6.05187936843681e-07,0.000773884074238857,"TNN","63923","tenascin N"
"ENSG00000204282",894.567478028915,-1.79478786995965,0.360561450820938,-4.97775862026631,6.43248034305313e-07,0.000783384213207542,"TNRC6C-AS1","100131096","TNRC6C antisense RNA 1"
"ENSG00000091622",816.92932713087,0.99331252952751,0.201577498212052,4.92769549348501,8.3205156658405e-07,0.000967259946153958,"PITPNM3","83394","PITPNM family member 3"
"ENSG00000270426",46.2877863533378,-1.36018420962824,0.276562399699075,-4.91818197668318,8.73516891782924e-07,0.000971312804667317,NA,NA,NA
"ENSG00000080200",1746.95591606096,1.20360675144901,0.247118036198525,4.87057428087554,1.11274358426812e-06,0.00118576738198572,"CRYBG3","131544","crystallin beta-gamma domain containing 3"
"ENSG00000065833",760.583848698426,1.41926725539183,0.293025363737069,4.84349626698299,1.27574119256534e-06,0.0012548877307638,"ME1","4199","malic enzyme 1"
"ENSG00000165359",1356.09428349326,-1.00345262106279,0.20696859743687,-4.84833271080589,1.24503460518411e-06,0.0012548877307638,"INTS6L","203522","integrator complex subunit 6 like"
"ENSG00000260682",413.570142934946,-1.51452883251556,0.317025439222542,-4.7773100992454,1.7765569338534e-06,0.00168279420678891,NA,NA,NA
"ENSG00000167483",672.991639862159,-3.25965943779288,0.688237274268306,-4.73624367593046,2.17715795340693e-06,0.00198860052351365,"NIBAN3","199786","niban apoptosis regulator 3"
"ENSG00000067167",3854.06236435937,0.675329312541439,0.142973690216107,4.72345164708743,2.31875108774669e-06,0.0020448985885904,"TRAM1","23471","translocation associated membrane protein 1"
"ENSG00000162600",901.218566226668,-0.514660302961746,0.109866850094176,-4.68440027652189,2.80780827733249e-06,0.00214501272422683,"OMA1","115209","OMA1 zinc metallopeptidase"
"ENSG00000246575",79.8151328922361,-1.21871027617075,0.259986701823731,-4.68758697126372,2.76445231642147e-06,0.00214501272422683,NA,NA,NA
"ENSG00000227946",114.78618067676,-0.49954804101363,0.106321119456363,-4.69848364622099,2.62100171889432e-06,0.00214501272422683,NA,NA,NA
"ENSG00000008394",8058.74437270467,0.970893492374888,0.206953349688078,4.69136399018537,2.7138965711648e-06,0.00214501272422683,"MGST1","4257","microsomal glutathione S-transferase 1"
"ENSG00000072818",2479.9061750265,-1.96834020939847,0.420475276155113,-4.68122698532303,2.85162981910898e-06,0.00214501272422683,"ACAP1","9744","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
"ENSG00000139890",97.8072700691706,-1.32179991719576,0.28345752161551,-4.66313227344409,3.11432433906031e-06,0.00227568128489907,"REM2","161253","RRAD and GEM like GTPase 2"
"ENSG00000256574",10.6211620705239,-2.33396227876396,0.502372480961462,-4.64588003366967,3.38629757705365e-06,0.00232924655613636,"OR13A1","79290","olfactory receptor family 13 subfamily A member 1"
"ENSG00000140279",15891.6159073223,1.18232825690657,0.255319767348017,4.63077445662475,3.64300536639119e-06,0.00232924655613636,"DUOX2","50506","dual oxidase 2"
"ENSG00000104921",258.635869010942,-3.58774384028884,0.774255420488334,-4.63379880250111,3.5901593612004e-06,0.00232924655613636,"FCER2","2208","Fc fragment of IgE receptor II"
"ENSG00000271303",2529.72793959691,1.37124474509035,0.294910531139998,4.6496974515956,3.32422303990441e-06,0.00232924655613636,"SRXN1","140809","sulfiredoxin 1"
"ENSG00000185275",3535.38250221453,1.13065874840242,0.243688584677571,4.63976903102959,3.48798790848728e-06,0.00232924655613636,NA,NA,NA
"ENSG00000116212",1265.80506557939,0.882849257276665,0.1915007648485,4.61016047625243,4.02358260898641e-06,0.00235514792306419,"LRRC42","115353","leucine rich repeat containing 42"
"ENSG00000104635",10058.8987613608,1.02872120747802,0.222799246243644,4.61725622874438,3.88847038159796e-06,0.00235514792306419,"SLC39A14","23516","solute carrier family 39 member 14"
